"","Year","minMSRP","meanMSRP","maxMSRP"
"1","2000",2000,2530.14302957151,39669
"2","2001",9299,41500.6666666667,359990
"3","2002",12815,33744.156097561,262990
"4","2003",10245,39774.0630252101,643330
"5","2004",10135,36107.3361702128,440000
"6","2005",10325,36746.9718309859,440000
"7","2006",12780,32056.4682926829,260000
"8","2007",12895,34974.1942028986,480000
"9","2008",12895,44174.5821325648,1500000
"10","2009",11965,45457.791005291,495000
"11","2010",11965,50642.4966442953,506500
"12","2011",11965,57548.1789473684,1380000
"13","2012",13699,59516.2351421189,1382750
"14","2013",14720,48698.5027322404,315888
"15","2014",12995,63226.363327674,548800
"16","2015",11990,46794.4612903226,548800
"17","2016",11990,47220.7431617988,535500
"18","2017",11990,42191.5341726619,247900
